date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:56	785467/785467	---MCZ	200	added ('OK')	application/javascript	etag:%22bfc3b-60746916b1b49-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/echarts/echarts.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/echarts/echarts.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-echart.html)
13:32:57	226496/226496	---MCZ	200	added ('OK')	application/javascript	etag:%22374c0-60746916acd29-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/chart.js/Chart.bundle.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/chart.js/Chart.bundle.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-chartjs.html)
13:32:57	3658/3658	---M-Z	200	added ('OK')	application/javascript	etag:%22e4a-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/chartjs.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/chartjs.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-chartjs.html)
13:32:57	10804/10804	---M-Z	200	added ('OK')	application/javascript	etag:%222a34-60746916b790a-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/jquery-knob/jquery.knob.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/jquery-knob/jquery.knob.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-knob.html)
13:32:57	33/33	---M--	200	added ('OK')	application/javascript	etag:%2221-60746916a5029%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/jquery-knob.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/jquery-knob.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-knob.html)
13:32:58	62673/62673	---M-Z	200	added ('OK')	application/javascript	etag:%22f4d1-60746916b790a-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/jquery-sparkline/jquery.sparkline.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/jquery-sparkline/jquery.sparkline.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-sparkline.html)
13:32:58	2644/2644	---M-Z	200	added ('OK')	application/javascript	etag:%22a54-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/sparklines.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/sparklines.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/charts-sparkline.html)
13:32:59	320102/320102	---M-Z	200	added ('OK')	application/javascript	etag:%224e266-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/materialdesign.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/materialdesign.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/icons-materialdesign.html)
13:33:00	573358/573358	---M-Z	200	added ('OK')	application/javascript	etag:%228bfae-60746916a5029-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/js/pages/fontawesome.init.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/js/pages/fontawesome.init.js	(from https://themesdesign.in/dason-laravel/layouts/default/icons-fontawesome.html)
13:33:00	31936/31936	---M-Z	200	added ('OK')	application/javascript	etag:%227cc0-60746916b59ca-gzip%22	https://themesdesign.in/dason-laravel/layouts/default/assets/libs/gmaps/gmaps.min.js	C:/magang_skripsi/skripsi/public/template1/themesdesign.in/dason-laravel/layouts/default/assets/libs/gmaps/gmaps.min.js	(from https://themesdesign.in/dason-laravel/layouts/default/maps-google.html)
